"DOI","Publication Date","Publication Year","Journal","Research Article' or 'non-Research Article'?","Article Title","Citations - CrossRef","Citations - PubMed Central","Citations - Scopus"
"10.1371/journal.pcbi.1000214",11/07/08,2008,"PLoS Computational Biology","RA","Evolutionary Modeling of Rate Shifts Reveals Specificity Determinants in HIV-1 Subtypes",0,1,2
"10.1371/journal.pcbi.1000215",03/27/09,2009,"PLoS Computational Biology","RA","Biomedical Discovery Acceleration, with Applications to Craniofacial Development",0,0,0
"10.1371/journal.pcbi.1000216",11/07/08,2008,"PLoS Computational Biology","RA","Distinct Modes of Regulation by Chromatin Encoded through Nucleosome Positioning Signals",11,2,4
"10.1371/journal.pcbi.1000217",11/07/08,2008,"PLoS Computational Biology","RA","Inferring Pathway Activity toward Precise Disease Classification",0,3,0
"10.1371/journal.pcbi.1000218",11/07/08,2008,"PLoS Computational Biology","RA","Genome-Wide Analysis of Human Disease Alleles Reveals That Their Locations Are Correlated in Paralogous Proteins",1,0,0
"10.1371/journal.pcbi.1000219",11/14/08,2008,"PLoS Computational Biology","RA","A Low Dimensional Description of Globally Coupled Heterogeneous Neural Networks of Excitatory and Inhibitory Neurons",0,0,0
"10.1371/journal.pcbi.1000220",11/07/08,2008,"PLoS Computational Biology","RA","Emergence of Functional Hierarchy in a Multiple Timescale Neural Network Model: A Humanoid Robot Experiment",1,2,2
"10.1371/journal.pcbi.1000221",11/14/08,2008,"PLoS Computational Biology","RA","Polar or Apolar?The Role of Polarity for Urea-Induced Protein Denaturation",0,0,0
"10.1371/journal.pcbi.1000222",11/14/08,2008,"PLoS Computational Biology","RA","A Generic Mechanism of Emergence of Amyloid Protofilaments from Disordered Oligomeric Aggregates",1,0,1
"10.1371/journal.pcbi.1000223",11/14/08,2008,"PLoS Computational Biology","RA","Quantification of Local Morphodynamics and Local GTPase Activity by Edge Evolution Tracking",0,0,0
"10.1371/journal.pcbi.1000224",11/14/08,2008,"PLoS Computational Biology","RA","A Predictive Model of the Oxygen and Heme Regulatory Network in Yeast",0,2,1
"10.1371/journal.pcbi.1000225",11/21/08,2008,"PLoS Computational Biology","RA","Phylogenetic Dependency Networks: Inferring Patterns of CTL Escape and Codon Covariation in HIV-1 Gag",1,0,0
"10.1371/journal.pcbi.1000226",11/21/08,2008,"PLoS Computational Biology","RA","Neutrality and Robustness in Evo-Devo: Emergence of Lateral Inhibition",0,1,1
"10.1371/journal.pcbi.1000227",11/28/08,2008,"PLoS Computational Biology","non RA","Analyzing ChIP-chip Data Using Bioconductor",0,0,0
"10.1371/journal.pcbi.1000228",11/21/08,2008,"PLoS Computational Biology","RA","Order-Based Representation in Random Networks of Cortical Neurons",0,1,0
"10.1371/journal.pcbi.1000229",11/21/08,2008,"PLoS Computational Biology","RA","Behavioral Sequence Analysis Reveals a Novel Role for ?2* Nicotinic Receptors in Exploration",0,0,0
"10.1371/journal.pcbi.1000230",11/28/08,2008,"PLoS Computational Biology","RA","Optimal Learning Rules for Discrete Synapses",0,1,2
"10.1371/journal.pcbi.1000231",11/21/08,2008,"PLoS Computational Biology","RA","Structural and Thermodynamic Approach to Peptide Immunogenicity",0,0,0
"10.1371/journal.pcbi.1000232",11/28/08,2008,"PLoS Computational Biology","RA","Age-Dependent Evolution of the Yeast Protein Interaction Network Suggests a Limited Role of Gene Duplication and Divergence",0,1,0
"10.1371/journal.pcbi.1000233",11/28/08,2008,"PLoS Computational Biology","RA","PSICIC: Noise and Asymmetry in Bacterial Division Revealed by Computational Image Analysis at Sub-Pixel Resolution",1,1,2
"10.1371/journal.pcbi.1000234",11/28/08,2008,"PLoS Computational Biology","RA","A Methodological Framework for the Reconstruction of Contiguous Regions of Ancestral Genomes and Its Application to Mammalian Genomes",0,0,2
"10.1371/journal.pcbi.1000235",11/28/08,2008,"PLoS Computational Biology","RA","Multistable Decision Switches for Flexible Control of Epigenetic Differentiation",0,0,0
"10.1371/journal.pcbi.1000236",12/05/08,2008,"PLoS Computational Biology","RA","Spontaneous Reaction Silencing in Metabolic Optimization",1,0,0
"10.1371/journal.pcbi.1000237",11/28/08,2008,"PLoS Computational Biology","RA","Dynamic Changes in Protein Functional Linkage Networks Revealed by Integration with Gene Expression Data",0,0,0
"10.1371/journal.pcbi.1000238",12/05/08,2008,"PLoS Computational Biology","RA","Formation and Growth of Oligomers: A Monte Carlo Study of an Amyloid Tau Fragment",0,2,0
"10.1371/journal.pcbi.1000239",12/12/08,2008,"PLoS Computational Biology","RA","Encoding of Naturalistic Stimuli by Local Field Potential Spectra in Networks of Excitatory and Inhibitory Neurons",0,1,0
"10.1371/journal.pcbi.1000240",12/12/08,2008,"PLoS Computational Biology","RA","Dynamic Correlation between Intrahost HIV-1 Quasispecies Evolution and Disease Progression",1,0,0
"10.1371/journal.pcbi.1000241",12/19/08,2008,"PLoS Computational Biology","RA","Disordered Flanks Prevent Peptide Aggregation",0,0,0
"10.1371/journal.pcbi.1000242",12/19/08,2008,"PLoS Computational Biology","RA","Dependence of Bacterial Chemotaxis on Gradient Shape and Adaptation Rate",0,0,0
"10.1371/journal.pcbi.1000243",12/19/08,2008,"PLoS Computational Biology","RA","Malleable Machines in Transcription Regulation: The Mediator Complex",0,0,1
"10.1371/journal.pcbi.1000244",12/26/08,2008,"PLoS Computational Biology","RA","Mechanics and Dynamics of X-Chromosome Pairing at X Inactivation",0,0,1
"10.1371/journal.pcbi.1000245",12/19/08,2008,"PLoS Computational Biology","RA","Association Rate Constants of Ras-Effector Interactions Are Evolutionarily Conserved",0,0,0
"10.1371/journal.pcbi.1000246",12/26/08,2008,"PLoS Computational Biology","RA","A Mathematical Framework for the Selection of an Optimal Set of Peptides for Epitope-Based Vaccines",0,0,0
"10.1371/journal.pcbi.1000247",12/26/08,2008,"PLoS Computational Biology","non RA","I Am Not a Scientist, I Am a Number",0,0,0
"10.1371/journal.pcbi.1000248",12/26/08,2008,"PLoS Computational Biology","RA","Tag-Trigger-Consolidation: A Model of Early and Late Long-Term-Potentiation and Depression",0,0,0
"10.1371/journal.pcbi.1000249",12/26/08,2008,"PLoS Computational Biology","RA","Search Algorithms as a Framework for the Optimization of Drug Combinations",0,0,0
"10.1371/journal.pcbi.1000250",12/26/08,2008,"PLoS Computational Biology","RA","Identification of Mechanosensitive Genes during Embryonic Bone Formation",0,0,0
"10.1371/journal.pcbi.1000251",12/26/08,2008,"PLoS Computational Biology","RA","The Morphological Identity of Insect Dendrites",0,0,0
"10.1371/journal.pcbi.1000252",01/02/09,2009,"PLoS Computational Biology","RA","Questioning the Ubiquity of Neofunctionalization",0,0,0
"10.1371/journal.pcbi.1000253",12/26/08,2008,"PLoS Computational Biology","RA","A Common Cortical Circuit Mechanism for Perceptual Categorical Discrimination and Veridical Judgment",0,0,0
"10.1371/journal.pcbi.1000254",12/26/08,2008,"PLoS Computational Biology","RA","Game Theory of Mind",1,0,0
"10.1371/journal.pcbi.1000255",01/02/09,2009,"PLoS Computational Biology","RA","Polyamine Sharing between Tubulin Dimers Favours Microtubule Nucleation and Elongation via Facilitated Diffusion",1,0,0
"10.1371/journal.pcbi.1000256",01/02/09,2009,"PLoS Computational Biology","RA","Shape, Size, and Robustness: Feasible Regions in the Parameter Space of Biochemical Networks",0,1,0
"10.1371/journal.pcbi.1000257",01/02/09,2009,"PLoS Computational Biology","RA","Predicting Cellular Growth from Gene Expression Signatures",0,1,0
"10.1371/journal.pcbi.1000258",01/09/09,2009,"PLoS Computational Biology","RA","Evolutionary Sequence Modeling for Discovery of Peptide Hormones",0,1,0
"10.1371/journal.pcbi.1000259",01/16/09,2009,"PLoS Computational Biology","RA","State Based Model of Long-Term Potentiation and Synaptic Tagging and Capture",0,0,1
"10.1371/journal.pcbi.1000260",01/09/09,2009,"PLoS Computational Biology","RA","Deterministic Mechanical Model of T-Killer Cell Polarization Reproduces the Wandering of Aim between Simultaneously Engaged Targets",0,0,0
"10.1371/journal.pcbi.1000261",01/09/09,2009,"PLoS Computational Biology","RA","An Analysis of Enzyme Kinetics Data for Mitochondrial DNA Strand Termination by Nucleoside Reverse Transcription Inhibitors",0,0,0
"10.1371/journal.pcbi.1000262",01/16/09,2009,"PLoS Computational Biology","RA","Phylogenetic and Functional Assessment of Orthologs Inference Projects and Methods",1,1,2
"10.1371/journal.pcbi.1000263",01/30/09,2009,"PLoS Computational Biology","non RA","Microblogging the ISMB: A New Approach to Conference Reporting",0,1,0
"10.1371/journal.pcbi.1000264",01/16/09,2009,"PLoS Computational Biology","RA","Developmental Robustness by Obligate Interaction of Class B Floral Homeotic Genes and Proteins",1,0,0
"10.1371/journal.pcbi.1000265",01/16/09,2009,"PLoS Computational Biology","RA","Action Potential Initiation in the Hodgkin-Huxley Model",0,0,0
"10.1371/journal.pcbi.1000266",01/16/09,2009,"PLoS Computational Biology","RA","Partial Order Optimum Likelihood (POOL): Maximum Likelihood Prediction of Protein Active Site Residues Using 3D Structure and Sequence Properties",0,1,1
"10.1371/journal.pcbi.1000267",01/23/09,2009,"PLoS Computational Biology","RA","Joint Evolutionary Trees: A Large-Scale Method To Predict Protein Interfaces Based on Sequence Sampling",0,0,0
"10.1371/journal.pcbi.1000268",01/23/09,2009,"PLoS Computational Biology","RA","Computational Modeling of the Hematopoietic Erythroid-Myeloid Switch Reveals Insights into Cooperativity, Priming, and Irreversibility",0,0,1
"10.1371/journal.pcbi.1000269",01/30/09,2009,"PLoS Computational Biology","non RA","A Primer on Regression Methods for Decoding cis-Regulatory Logic",0,0,0
"10.1371/journal.pcbi.1000270",01/30/09,2009,"PLoS Computational Biology","RA","Coordinated Concentration Changes of Transcripts and Metabolites in Saccharomyces cerevisiae",0,0,0
"10.1371/journal.pcbi.1000271",01/30/09,2009,"PLoS Computational Biology","RA","Efficient Network Reconstruction from Dynamical Cascades Identifies Small-World Topology of Neuronal Avalanches",1,0,0
"10.1371/journal.pcbi.1000272",01/23/09,2009,"PLoS Computational Biology","RA","Astrocytic Mechanisms Explaining Neural-Activity-Induced Shrinkage of Extraneuronal Space",0,0,0
"10.1371/journal.pcbi.1000273",01/23/09,2009,"PLoS Computational Biology","RA","Model-Based Therapeutic Correction of Hypothalamic-Pituitary-Adrenal Axis Dysfunction",0,0,0
"10.1371/journal.pcbi.1000274",01/30/09,2009,"PLoS Computational Biology","RA","A Factor Graph Nested Effects Model To Identify Networks from Genetic Perturbations",0,0,0
"10.1371/journal.pcbi.1000275",01/30/09,2009,"PLoS Computational Biology","non RA","A Review of 2008 for PLoS Computational Biology",0,0,0
"10.1371/journal.pcbi.1000276",01/30/09,2009,"PLoS Computational Biology","RA","Cohesive versus Flexible Evolution of Functional Modules in Eukaryotes",0,0,0
"10.1371/journal.pcbi.1000277",01/30/09,2009,"PLoS Computational Biology","RA","Poisson-Nernst-Planck Models of Nonequilibrium Ion Electrodiffusion through a Protegrin Transmembrane Pore",0,0,0
"10.1371/journal.pcbi.1000278",01/30/09,2009,"PLoS Computational Biology","RA","Prediction of Protein?Protein Interaction Sites in Sequences and 3D Structures by Random Forests",2,0,0
"10.1371/journal.pcbi.1000279",01/30/09,2009,"PLoS Computational Biology","RA","Precise Regulation of Gene Expression Dynamics Favors Complex Promoter Architectures",0,0,0
"10.1371/journal.pcbi.1000280",02/06/09,2009,"PLoS Computational Biology","RA","Social Contact Networks and Disease Eradicability under Voluntary Vaccination",1,1,0
"10.1371/journal.pcbi.1000281",02/06/09,2009,"PLoS Computational Biology","RA","Predicting Peptide Structures in Native Proteins from Physical Simulations of Fragments",1,0,0
"10.1371/journal.pcbi.1000282",02/06/09,2009,"PLoS Computational Biology","RA","Evidence for Gene-Specific Rather Than Transcription Rate?Dependent Histone H3 Exchange in Yeast Coding Regions",0,0,0
"10.1371/journal.pcbi.1000283",02/06/09,2009,"PLoS Computational Biology","RA","Computational Fitness Landscape for All Gene-Order Permutations of an RNA Virus",0,0,0
"10.1371/journal.pcbi.1000284",02/13/09,2009,"PLoS Computational Biology","RA","Can Monkeys Choose Optimally When Faced with Noisy Stimuli and Unequal Rewards?",0,0,0
"10.1371/journal.pcbi.1000285",02/13/09,2009,"PLoS Computational Biology","RA","A Genome-Scale Metabolic Reconstruction of Mycoplasma genitalium, iPS189",1,0,1
"10.1371/journal.pcbi.1000286",02/20/09,2009,"PLoS Computational Biology","RA","The Temporal Winner-Take-All Readout",0,0,0
"10.1371/journal.pcbi.1000287",02/13/09,2009,"PLoS Computational Biology","RA","Signaling Logic of Activity-Triggered Dendritic Protein Synthesis: An mTOR Gate But Not a Feedback Switch",0,1,0
"10.1371/journal.pcbi.1000288",02/13/09,2009,"PLoS Computational Biology","RA","Statistical Dynamics of Flowing Red Blood Cells by Morphological Image Processing",0,0,0
"10.1371/journal.pcbi.1000289",02/20/09,2009,"PLoS Computational Biology","RA","Conformational Changes and Slow Dynamics through Microsecond Polarized Atomistic Molecular Simulation of an Integral Kv1.2 Ion Channel",3,0,2
"10.1371/journal.pcbi.1000290",02/13/09,2009,"PLoS Computational Biology","RA","Stochastically Gating Ion Channels Enable Patterned Spike Firing through Activity-Dependent Modulation of Spike Probability",0,0,1
"10.1371/journal.pcbi.1000291",02/20/09,2009,"PLoS Computational Biology","RA","Accurate Path Integration in Continuous Attractor Network Models of Grid Cells",0,0,0
"10.1371/journal.pcbi.1000292",02/20/09,2009,"PLoS Computational Biology","RA","Identification of Potential Pathway Mediation Targets in Toll-like Receptor Signaling",0,0,0
"10.1371/journal.pcbi.1000293",02/20/09,2009,"PLoS Computational Biology","RA","Allosteric Communication Occurs via Networks of Tertiary and Quaternary Motions in Proteins",0,0,1
"10.1371/journal.pcbi.1000294",02/27/09,2009,"PLoS Computational Biology","RA","Agent-Based Model of Therapeutic Adipose-Derived Stromal Cell Trafficking during Ischemia Predicts Ability To Roll on P-Selectin",1,0,0
"10.1371/journal.pcbi.1000295",02/27/09,2009,"PLoS Computational Biology","RA","Rapid Sampling of Molecular Motions with Prior Information Constraints",0,0,0
"10.1371/journal.pcbi.1000296",02/27/09,2009,"PLoS Computational Biology","RA","Effects of Ploidy and Recombination on Evolution of Robustness in a Model of the Segment Polarity Network",0,0,0
"10.1371/journal.pcbi.1000297",03/06/09,2009,"PLoS Computational Biology","RA","Robustness in Glyoxylate Bypass Regulation",0,0,0
"10.1371/journal.pcbi.1000298",03/06/09,2009,"PLoS Computational Biology","RA","Steady-State Kinetic Modeling Constrains Cellular Resting States and Dynamic Behavior",1,0,0
"10.1371/journal.pcbi.1000299",03/13/09,2009,"PLoS Computational Biology","RA","Alignment and Prediction of cis-Regulatory Modules Based on a Probabilistic Model of Evolution",0,0,0
"10.1371/journal.pcbi.1000300",03/06/09,2009,"PLoS Computational Biology","RA","Alu Exonization Events Reveal Features Required for Precise Recognition of Exons by the Splicing Machinery",0,0,0
"10.1371/journal.pcbi.1000301",03/06/09,2009,"PLoS Computational Biology","RA","Understanding Pitch Perception as a Hierarchical Process with Top-Down Modulation",0,0,0
"10.1371/journal.pcbi.1000302",03/06/09,2009,"PLoS Computational Biology","RA","The Modulation Transfer Function for Speech Intelligibility",0,0,0
"10.1371/journal.pcbi.1000303",03/13/09,2009,"PLoS Computational Biology","RA","Canalization of Gene Expression and Domain Shifts in the Drosophila Blastoderm by Dynamical Attractors",2,1,0
"10.1371/journal.pcbi.1000304",03/13/09,2009,"PLoS Computational Biology","RA","Detection of Alpha-Rod Protein Repeats Using a Neural Network and Application to Huntingtin",0,0,0
"10.1371/journal.pcbi.1000305",03/13/09,2009,"PLoS Computational Biology","RA","Timing the Emergence of Resistance to Anti-HIV Drugs with Large Genetic Barriers",0,0,0
"10.1371/journal.pcbi.1000306",03/13/09,2009,"PLoS Computational Biology","RA","Mechanical Network in Titin Immunoglobulin from Force Distribution Analysis",0,0,0
"10.1371/journal.pcbi.1000307",03/13/09,2009,"PLoS Computational Biology","RA","Probabilistic Interaction Network of Evidence Algorithm and its Application to Complete Labeling of Peak Lists from Protein NMR Spectroscopy",0,0,0
"10.1371/journal.pcbi.1000308",03/13/09,2009,"PLoS Computational Biology","RA","GrowMatch: An Automated Method for Reconciling In Silico/In Vivo Growth Predictions",0,0,1
"10.1371/journal.pcbi.1000309",03/13/09,2009,"PLoS Computational Biology","RA","Mechanism of Action of Cyclophilin A Explored by Metadynamics Simulations",0,0,0
"10.1371/journal.pcbi.1000310",03/13/09,2009,"PLoS Computational Biology","RA","Cortical Factor Feedback Model for Cellular Locomotion and Cytofission",0,0,0
"10.1371/journal.pcbi.1000311",03/20/09,2009,"PLoS Computational Biology","RA","Using Network Component Analysis to Dissect Regulatory Networks Mediated by Transcription Factors in Yeast",0,0,0
"10.1371/journal.pcbi.1000312",03/13/09,2009,"PLoS Computational Biology","RA","Genome-Scale Reconstruction of Escherichia coli's Transcriptional and Translational Machinery: A Knowledge Base, Its Mathematical Formulation, and Its Functional Characterization",0,0,1
"10.1371/journal.pcbi.1000313",03/13/09,2009,"PLoS Computational Biology","RA","Toward a Detailed Description of the Thermally Induced Dynamics of the Core Promoter",0,0,0
"10.1371/journal.pcbi.1000314",03/20/09,2009,"PLoS Computational Biology","RA","Broadband Criticality of Human Brain Network Synchronization",3,1,1
"10.1371/journal.pcbi.1000315",03/13/09,2009,"PLoS Computational Biology","RA","Sm/Lsm Genes Provide a Glimpse into the Early Evolution of the Spliceosome",0,0,0
"10.1371/journal.pcbi.1000316",03/13/09,2009,"PLoS Computational Biology","RA","Intrinsic Disorder in Protein Interactions: Insights From a Comprehensive Structural Analysis",1,0,0
"10.1371/journal.pcbi.1000317",03/13/09,2009,"PLoS Computational Biology","RA","Robust Detection and Genotyping of Single Feature Polymorphisms from Gene Expression Data",0,0,0
"10.1371/journal.pcbi.1000318",03/20/09,2009,"PLoS Computational Biology","RA","Accurate Detection of Recombinant Breakpoints in Whole-Genome Alignments",0,0,0
"10.1371/journal.pcbi.1000319",03/20/09,2009,"PLoS Computational Biology","RA","Quantifying Global Tolerance of Biochemical Systems: Design Implications for Moiety-Transfer Cycles",0,0,0
"10.1371/journal.pcbi.1000320",03/20/09,2009,"PLoS Computational Biology","RA","On the Growth of Scientific Knowledge: Yeast Biology as a Case Study",0,0,0
"10.1371/journal.pcbi.1000321",03/20/09,2009,"PLoS Computational Biology","RA","Computational Model of the Insect Pheromone Transduction Cascade",0,0,0
"10.1371/journal.pcbi.1000322",03/20/09,2009,"PLoS Computational Biology","RA","Directing Experimental Biology: A Case Study in Mitochondrial Biogenesis",0,0,0
"10.1371/journal.pcbi.1000323",03/20/09,2009,"PLoS Computational Biology","RA","Modeling Signal Propagation Mechanisms and Ligand-Based Conformational Dynamics of the Hsp90 Molecular Chaperone Full-Length Dimer",0,0,0
"10.1371/journal.pcbi.1000324",03/27/09,2009,"PLoS Computational Biology","RA","Hypertrophy and/or Hyperplasia: Dynamics of Adipose Tissue Growth",0,0,0
"10.1371/journal.pcbi.1000325",03/20/09,2009,"PLoS Computational Biology","RA","Ras Conformational Switching: Simulating Nucleotide-Dependent Conformational Transitions with Accelerated Molecular Dynamics",0,0,0
"10.1371/journal.pcbi.1000326",03/20/09,2009,"PLoS Computational Biology","RA","A Systems Approach Uncovers Restrictions for Signal Interactions Regulating Genome-wide Responses to Nutritional Cues in Arabidopsis",0,1,1
"10.1371/journal.pcbi.1000327",03/20/09,2009,"PLoS Computational Biology","RA","T-Cell Epitope Prediction: Rescaling Can Mask Biological Variation between MHC Molecules",0,0,0
"10.1371/journal.pcbi.1000328",03/27/09,2009,"PLoS Computational Biology","RA","Estimation of Thalamocortical and Intracortical Network Models from Joint Thalamic Single-Electrode and Cortical Laminar-Electrode Recordings in the Rat Barrel System",0,0,0
"10.1371/journal.pcbi.1000329",03/27/09,2009,"PLoS Computational Biology","RA","?I Look in Your Eyes, Honey?: Internal Face Features Induce Spatial Frequency Preference for Human Face Processing",0,0,0
"10.1371/journal.pcbi.1000330",03/20/09,2009,"PLoS Computational Biology","RA","Positional Information Generated by Spatially Distributed Signaling Cascades",0,0,0
"10.1371/journal.pcbi.1000331",03/27/09,2009,"PLoS Computational Biology","RA","Cross-Over between Discrete and Continuous Protein Structure Space: Insights into Automatic Classification and Networks of Protein Structures",0,0,2
"10.1371/journal.pcbi.1000332",04/03/09,2009,"PLoS Computational Biology","RA","Systems Analysis of Bioenergetics and Growth of the Extreme Halophile Halobacterium salinarum",0,0,0
"10.1371/journal.pcbi.1000333",03/27/09,2009,"PLoS Computational Biology","RA","BETASCAN: Probable ?-amyloids Identified by Pairwise Probabilistic Analysis",0,0,0
"10.1371/journal.pcbi.1000334",03/27/09,2009,"PLoS Computational Biology","non RA","A Proposal for a Coordinated Effort for the Determination of Brainwide Neuroanatomical Connectivity in Model Organisms at a Mesoscopic Scale",0,0,0
"10.1371/journal.pcbi.1000335",03/27/09,2009,"PLoS Computational Biology","RA","Accurate Prediction of Peptide Binding Sites on Protein Surfaces",1,0,0
"10.1371/journal.pcbi.1000336",04/03/09,2009,"PLoS Computational Biology","RA","Natural Image Coding in V1: How Much Use Is Orientation Selectivity?",0,0,0
"10.1371/journal.pcbi.1000337",04/03/09,2009,"PLoS Computational Biology","RA","Evolutionary Epidemiology of Drug-Resistance in Space",0,0,0
"10.1371/journal.pcbi.1000338",04/03/09,2009,"PLoS Computational Biology","RA","Discovering cis-Regulatory RNAs in Shewanella Genomes by Support Vector Machines",0,0,0
"10.1371/journal.pcbi.1000339",04/03/09,2009,"PLoS Computational Biology","RA","The Homeostasis of Plasmodium falciparum-Infected Red Blood Cells",0,0,0
"10.1371/journal.pcbi.1000340",04/03/09,2009,"PLoS Computational Biology","RA","Fuzzy Logic Analysis of Kinase Pathway Crosstalk in TNF/EGF/Insulin-Induced Signaling",0,0,0
"10.1371/journal.pcbi.1000341",04/03/09,2009,"PLoS Computational Biology","RA","From Nonspecific DNA?Protein Encounter Complexes to the Prediction of DNA?Protein Interactions",0,0,0
"10.1371/journal.pcbi.1000342",04/03/09,2009,"PLoS Computational Biology","RA","Spontaneous Local Gamma Oscillation Selectively Enhances Neural Network Responsiveness",0,0,0
"10.1371/journal.pcbi.1000343",04/03/09,2009,"PLoS Computational Biology","RA","Probing the Flexibility of Large Conformational Changes in Protein Structures through Local Perturbations",0,0,0
"10.1371/journal.pcbi.1000344",04/03/09,2009,"PLoS Computational Biology","RA","Genome-Wide Functional Divergence after the Symbiosis of Proteobacteria with Insects Unraveled through a Novel Computational Approach",0,0,0
"10.1371/journal.pcbi.1000345",04/10/09,2009,"PLoS Computational Biology","RA","Dissociating Variability and Effort as Determinants of Coordination",0,0,0
"10.1371/journal.pcbi.1000346",04/10/09,2009,"PLoS Computational Biology","RA","The Role of Environmental Transmission in Recurrent Avian Influenza Epidemics",0,0,0
"10.1371/journal.pcbi.1000347",04/03/09,2009,"PLoS Computational Biology","RA","Maximal Extraction of Biological Information from Genetic Interaction Data",2,0,0
"10.1371/journal.pcbi.1000348",05/29/09,2009,"PLoS Computational Biology","non RA","What Is Stochastic Resonance? Definitions, Misconceptions, Debates, and Its Relevance to Biology",0,0,0
"10.1371/journal.pcbi.1000349",04/17/09,2009,"PLoS Computational Biology","RA","Inferring Stabilizing Mutations from Protein Phylogenies: Application to Influenza Hemagglutinin",0,0,0
"10.1371/journal.pcbi.1000350",04/10/09,2009,"PLoS Computational Biology","RA","Information Flow Analysis of Interactome Networks",0,0,0
"10.1371/journal.pcbi.1000351",04/10/09,2009,"PLoS Computational Biology","RA","Towards Prediction of Metabolic Products of Polyketide Synthases: An In Silico Analysis",0,0,0
"10.1371/journal.pcbi.1000352",04/10/09,2009,"PLoS Computational Biology","RA","Statistical Methods for Detecting Differentially Abundant Features in Clinical Metagenomic Samples",1,0,0
"10.1371/journal.pcbi.1000353",04/10/09,2009,"PLoS Computational Biology","RA","A Dynamic Network Approach for the Study of Human Phenotypes",0,0,0
"10.1371/journal.pcbi.1000354",04/10/09,2009,"PLoS Computational Biology","RA","Predicting Phenotypic Diversity and the Underlying Quantitative Molecular Transitions",0,0,0
"10.1371/journal.pcbi.1000355",04/10/09,2009,"PLoS Computational Biology","RA","An Analytically Solvable Model for Rapid Evolution of Modular Structure",0,0,0
"10.1371/journal.pcbi.1000356",04/10/09,2009,"PLoS Computational Biology","RA","Estimating the Location and Spatial Extent of a Covert Anthrax Release",0,0,0
"10.1371/journal.pcbi.1000357",04/10/09,2009,"PLoS Computational Biology","RA","Amyloidogenesis Abolished by Proline Substitutions but Enhanced by Lipid Binding",0,0,0
"10.1371/journal.pcbi.1000358",04/24/09,2009,"PLoS Computational Biology","non RA","Ten Simple Rules To Combine Teaching and Research",0,0,0
"10.1371/journal.pcbi.1000359",04/24/09,2009,"PLoS Computational Biology","RA","Polymorphism Data Can Reveal the Origin of Species Abundance Statistics",0,0,0
"10.1371/journal.pcbi.1000360",04/17/09,2009,"PLoS Computational Biology","RA","Allosteric Transitions of Supramolecular Systems Explored by Network Models: Application to Chaperonin GroEL",0,0,0
"10.1371/journal.pcbi.1000361",04/17/09,2009,"PLoS Computational Biology","non RA","Adventures in Semantic Publishing: Exemplar Semantic Enhancements of a Research Article",0,1,0
"10.1371/journal.pcbi.1000362",04/24/09,2009,"PLoS Computational Biology","RA","Tumor-Immune Interaction, Surgical Treatment, and Cancer Recurrence in a Mathematical Model of Melanoma",0,0,0
"10.1371/journal.pcbi.1000363",04/17/09,2009,"PLoS Computational Biology","RA","Design Principles for Riboswitch Function",0,0,1
"10.1371/journal.pcbi.1000364",04/17/09,2009,"PLoS Computational Biology","RA","A Bipolar Clamp Mechanism for Activation of Jak-Family Protein Tyrosine Kinases",0,0,0
"10.1371/journal.pcbi.1000365",04/24/09,2009,"PLoS Computational Biology","RA","Divisive Gain Modulation with Dynamic Stimuli in Integrate-and-Fire Neurons",0,0,0
"10.1371/journal.pcbi.1000366",05/29/09,2009,"PLoS Computational Biology","non RA","Getting Started in Computational Mass Spectrometry?Based Proteomics",0,0,0
"10.1371/journal.pcbi.1000367",04/24/09,2009,"PLoS Computational Biology","RA","A Structural Model of the Pore-Forming Region of the Skeletal Muscle Ryanodine Receptor (RyR1)",0,0,0
"10.1371/journal.pcbi.1000368",06/26/09,2009,"PLoS Computational Biology","non RA","Establishing a Successful Bioinformatics Core Facility Team",0,0,0
"10.1371/journal.pcbi.1000369",06/26/09,2009,"PLoS Computational Biology","non RA","Managing and Analyzing Next-Generation Sequence Data",0,0,0
"10.1371/journal.pcbi.1000370",05/01/09,2009,"PLoS Computational Biology","RA","Representation of Time-Varying Stimuli by a Network Exhibiting Oscillations on a Faster Time Scale",0,0,0
"10.1371/journal.pcbi.1000371",04/24/09,2009,"PLoS Computational Biology","RA","The Role of the Frank?Starling Law in the Transduction of Cellular Work to Whole Organ Pump Function: A Computational Modeling Analysis",0,0,0
"10.1371/journal.pcbi.1000372",06/26/09,2009,"PLoS Computational Biology","non RA","The Need for Centralization of Computational Biology Resources",0,0,0
"10.1371/journal.pcbi.1000373",05/01/09,2009,"PLoS Computational Biology","RA","Predictive Feedback Can Account for Biphasic Responses in the Lateral Geniculate Nucleus",0,0,0
"10.1371/journal.pcbi.1000374",04/24/09,2009,"PLoS Computational Biology","RA","Mapping Gene Associations in Human Mitochondria using Clinical Disease Phenotypes",0,0,0
"10.1371/journal.pcbi.1000375",04/24/09,2009,"PLoS Computational Biology","non RA","Webb Miller and Trey Ideker To Receive Top International Bioinformatics Awards for 2009 from the International Society for Computational Biology",0,0,0
"10.1371/journal.pcbi.1000376",05/01/09,2009,"PLoS Computational Biology","RA","Prediction of Protein Binding Regions in Disordered Proteins",0,0,0
"10.1371/journal.pcbi.1000377",05/01/09,2009,"PLoS Computational Biology","RA","Dating the Age of the SIV Lineages That Gave Rise to HIV-1 and HIV-2",1,0,0
