"Publication Date","Publication Year","Journal","Research Article' or 'non-Research Article'?","Article Title","Citations - CrossRef","Citations - PubMed Central","Citations - Scopus","Total Citations","Days Old","Citations Per Day"
03/23/07,2007,"PLoS Computational Biology","RA","Positive and Negative Design in Stability and Thermal Adaptation of Natural Proteins",6,3,8,17,"941.47",0.02
04/27/07,2007,"PLoS Computational Biology","RA","Coping with Viral Diversity in HIV Vaccine Design",6,4,7,17,"906.47",0.02
04/18/08,2008,"PLoS Computational Biology","RA","Functional Maps of Protein Complexes from Quantitative Genetic Interaction Data",7,7,3,17,"549.47",0.03
08/31/07,2007,"PLoS Pathogens","non RA","Reliance of Host Cholesterol Metabolic Pathways for the Life Cycle of Hepatitis C Virus",8,1,8,17,"780.47",0.02
11/30/07,2007,"PLoS Genetics","RA","Rrp1b, a New Candidate Susceptibility Gene for Breast Cancer Progression and Metastasis",7,2,8,17,"689.47",0.02
03/31/06,2006,"PLoS Genetics","RA","PRKCA and Multiple Sclerosis: Association in Two Independent Populations",5,2,10,17,"1298.47",0.01
07/14/06,2006,"PLoS Genetics","RA","Neofunctionalization in Vertebrates: The Example of Retinoic Acid Receptors",6,7,4,17,"1193.47",0.01
12/15/06,2006,"PLoS Genetics","RA","Adaptive Stress Response in Segmental Progeria Resembles Long-Lived Dwarfism and Calorie Restriction in Mice",4,8,5,17,"1039.47",0.02
04/18/07,2007,"PLoS ONE","RA","Neurosphere-Derived Cells Exert a Neuroprotective Action by Changing the Ischemic Microenvironment",4,3,10,17,"915.47",0.02
05/02/07,2007,"PLoS ONE","RA","Controlling Pandemic Flu: The Value of International Air Travel Restrictions",4,7,6,17,"901.47",0.02
09/12/07,2007,"PLoS ONE","RA","Toll-Like Receptor Expression and Responsiveness of Distinct Murine Splenic and Mucosal B-Cell Subsets",8,1,8,17,"768.47",0.02
12/27/06,2006,"PLoS ONE","RA","Rho Kinase's Role in Myosin Recruitment to the Equatorial Cortex of Mitotic Drosophila S2 Cells Is for Myosin Regulatory Light Chain Phosphorylation",5,4,8,17,"1027.47",0.02
04/04/07,2007,"PLoS ONE","RA","Environmental Enrichment Effects on Development of Retinal Ganglion Cell Dendritic Stratification Require Retinal BDNF",5,5,7,17,"929.47",0.02
04/04/07,2007,"PLoS ONE","RA","Affiliative Behavior, Ultrasonic Communication and Social Reward Are Influenced by Genetic Variation in Adolescent Mice",2,6,9,17,"929.47",0.02
09/26/07,2007,"PLoS ONE","RA","Transcriptional Program Induced by Wnt Protein in Human Fibroblasts Suggests Mechanisms for Cell Cooperativity in Defining Tissue Microenvironments",4,4,9,17,"754.47",0.02
10/17/07,2007,"PLoS ONE","RA","Impact of a Plasmodium falciparum AMA1 Vaccine on Antibody Responses in Adult Malians",2,5,10,17,"733.47",0.02
07/18/07,2007,"PLoS ONE","RA","Brucella abortus Uses a Stealthy Strategy to Avoid Activation of the Innate Immune System during the Onset of Infection",2,4,11,17,"824.47",0.02
08/01/07,2007,"PLoS ONE","RA","Mutations in the UBIAD1 Gene, Encoding a Potential Prenyltransferase, Are Causal for Schnyder Crystalline Corneal Dystrophy",6,3,8,17,"810.47",0.02
08/15/07,2007,"PLoS ONE","RA","3-D Ultrastructure of O. tauri: Electron Cryotomography of an Entire Eukaryotic Cell",6,4,7,17,"796.47",0.02
08/21/07,2007,"PLoS Medicine","RA","Defining Childhood Severe Falciparum Malaria for Intervention Studies",2,6,9,17,"790.47",0.02
12/05/07,2007,"PLoS ONE","RA","Analysis of the Neurotoxin Complex Genes in Clostridium botulinum A1-A4 and B1 Strains: BoNT/A3, /Ba4 and /B1 Clusters Are Located within Plasmids",0,6,11,17,"684.47",0.02
11/07/07,2007,"PLoS Neglected Tropical Diseases","RA","Host Gene Expression Profiling of Dengue Virus Infection in Cell Lines and Patients",7,1,9,17,"712.47",0.02
06/12/07,2007,"PLoS Medicine","non RA","Serial Testing for Tuberculosis: Can We Make Sense of T Cell Assay Conversions and Reversions?",2,6,9,17,"860.47",0.02
06/19/07,2007,"PLoS Medicine","RA","Optimizing the Dose of Pre-Pandemic Influenza Vaccines to Reduce the Infection Attack Rate",3,7,7,17,"853.47",0.02
07/31/07,2007,"PLoS Medicine","RA","Toll-Like Receptor 2 Impairs Host Defense in Gram-Negative Sepsis Caused by Burkholderia pseudomallei (Melioidosis)",2,4,11,17,"811.47",0.02
12/20/06,2006,"PLoS ONE","RA","Policy Adjustment in a Dynamic Economic Game",3,4,10,17,"1034.47",0.02
12/27/06,2006,"PLoS ONE","RA","Transcriptional Changes Common to Human Cocaine, Cannabis and Phencyclidine Abuse",4,4,9,17,"1027.47",0.02
01/29/08,2008,"PLoS Medicine","RA","Functions of Paracrine PDGF Signaling in the Proangiogenic Tumor Stroma Revealed by Pharmacological Targeting",9,5,3,17,"629.47",0.03
03/18/08,2008,"PLoS Medicine","RA","Multidisciplinary Prospective Study of Mother-to-Child Chikungunya Virus Infections on the Island of La R?union",3,5,9,17,"580.47",0.03
11/09/07,2007,"PLoS Computational Biology","RA","Genetic Progression and the Waiting Time to Cancer",7,2,8,17,"710.47",0.02
02/20/08,2008,"PLoS ONE","RA","Gene Expression Signature of Cigarette Smoking and Its Role in Lung Adenocarcinoma Development and Survival",4,4,9,17,"607.47",0.03
01/02/07,2007,"PLoS Biology","RA","Timing and Sequence of Brain Activity in Top-Down Control of Visual-Spatial Attention",4,2,11,17,"1021.47",0.02
06/24/08,2008,"PLoS Medicine","RA","Gene-Environment Interaction in the Onset of Eczema in Infancy: Filaggrin Loss-of-Function Mutations Enhanced by Neonatal Cat Exposure",8,0,9,17,"482.47",0.04
11/14/06,2006,"PLoS Biology","RA","Shellfish Dredging Pushes a Flexible Avian Top Predator out of a Marine Protected Area",5,0,12,17,"1070.47",0.02
06/07/05,2005,"PLoS Biology","RA","Distributed Neural Plasticity for Shape Learning in the Human Visual Cortex",4,4,9,17,"1595.47",0.01
04/04/06,2006,"PLoS Biology","RA","Migratory Restlessness in an Equatorial Nonmigratory Bird",4,1,12,17,"1294.47",0.01
12/19/07,2007,"PLoS ONE","RA","SAVVY? (C31G) Gel for Prevention of HIV infection in Women: A Phase 3, Double-Blind, Randomized, Placebo-Controlled Trial in Ghana",5,4,8,17,"670.47",0.03
12/18/07,2007,"PLoS Biology","RA","Transglutaminase 2 Undergoes a Large Conformational Change upon Activation",4,5,8,17,"671.47",0.03
12/22/03,2003,"PLoS Biology","non RA","Human Epigenome Project?Up and Running",1,1,15,17,"2128.47",0.01
10/17/06,2006,"PLoS Biology","RA","Ammonium Toxicity and Potassium Limitation in Yeast",3,5,9,17,"1098.47",0.02
08/16/05,2005,"PLoS Biology","RA","Functional Identification of Catalytic Metal Ion Binding Sites within RNA",3,5,9,17,"1525.47",0.01
10/09/07,2007,"PLoS Biology","RA","X Chromosome Inactivation during Drosophila Spermatogenesis",5,2,10,17,"741.47",0.02
08/28/07,2007,"PLoS Biology","RA","Insights into the Genome of Large Sulfur Bacteria Revealed by Analysis of Single Filaments",7,4,6,17,"783.47",0.02
01/04/05,2005,"PLoS Biology","RA","Flux Analysis Uncovers Key Role of Functional Redundancy in Formaldehyde Metabolism",5,3,9,17,"1749.47",0.01
12/01/06,2006,"PLoS Pathogens","RA","HIV-1 Vpr-Induced Apoptosis Is Cell Cycle Dependent and Requires Bax but Not ANT",3,13,1,17,"1053.47",0.02
06/06/06,2006,"PLoS Biology","RA","Structural Basis for a Munc13?1 Homodimer to Munc13?1/RIM Heterodimer Switch",5,3,9,17,"1231.47",0.01
05/09/07,2007,"PLoS ONE","RA","MamuSNP: A Resource for Rhesus Macaque (Macaca mulatta) Genomics",6,4,6,16,"894.47",0.02
04/28/06,2006,"PLoS Genetics","RA","SPA: A Probabilistic Algorithm for Spliced Alignment",3,7,6,16,"1270.47",0.01
05/16/06,2006,"PLoS Biology","non RA","Open Access Increases Citation Rate",3,5,8,16,"1252.47",0.01
05/30/07,2007,"PLoS ONE","RA","Experimental Selection for Drosophila Survival in Extremely Low O2 Environment",4,5,7,16,"873.47",0.02
02/27/08,2008,"PLoS ONE","RA","Effect of Synthetic Dietary Triglycerides: A Novel Research Paradigm for Nutrigenomics",5,3,8,16,"600.47",0.03
02/24/06,2006,"PLoS Computational Biology","RA","The Fragile Breakage versus Random Breakage Models of Chromosome Evolution",8,8,0,16,"1333.47",0.01
11/17/06,2006,"PLoS Computational Biology","RA","Funneled Landscape Leads to Robustness of Cell Networks: Yeast Cell Cycle",3,4,9,16,"1067.47",0.01
08/08/07,2007,"PLoS ONE","RA","A Novel Role for Connexin Hemichannel in Oxidative Stress and Smoking-Induced Cell Injury",4,0,12,16,"803.47",0.02
10/19/07,2007,"PLoS Genetics","RA","Genome-Wide Screen for Modifiers of Ataxin-3 Neurodegeneration in Drosophila",0,4,12,16,"731.47",0.02
08/01/07,2007,"PLoS ONE","RA","A Novel Lineage of Proteobacteria Involved in Formation of Marine Fe-Oxidizing Microbial Mat Communities",7,0,9,16,"810.47",0.02
10/26/07,2007,"PLoS Pathogens","RA","Small-Molecule Inhibition of HIV pre-mRNA Splicing as a Novel Antiretroviral Therapy to Overcome Drug Resistance",2,4,10,16,"724.47",0.02
05/09/06,2006,"PLoS Medicine","RA","ApoE Plasma Levels and Risk of Cardiovascular Mortality in Old Age",5,2,9,16,"1259.47",0.01
05/30/06,2006,"PLoS Biology","RA","B Cell Antigen Receptor Signaling and Internalization Are Mutually Exclusive Events",4,2,10,16,"1238.47",0.01
08/17/07,2007,"PLoS Computational Biology","RA","Automated Protein Subfamily Identification and Classification",7,7,2,16,"794.47",0.02
01/03/07,2007,"PLoS ONE","RA","Rapid Dissemination of Plasmodium falciparum Drug Resistance Despite Strictly Controlled Antimalarial Use",2,5,9,16,"1020.47",0.02
07/02/08,2008,"PLoS Neglected Tropical Diseases","RA","On the Extent and Origins of Genic Novelty in the Phylum Nematoda",2,6,8,16,"474.47",0.03
05/30/08,2008,"PLoS Genetics","RA","Specificity of the STAT4 Genetic Association for Severe Disease Manifestations of Systemic Lupus Erythematosus",9,2,5,16,"507.47",0.03
12/20/06,2006,"PLoS ONE","RA","A Uniform Genomic Minor Histocompatibility Antigen Typing Methodology and Database Designed to Facilitate Clinical Applications",7,1,8,16,"1034.47",0.02
02/01/08,2008,"PLoS Genetics","RA","Notch Signalling Synchronizes the Zebrafish Segmentation Clock but Is Not Needed To Create Somite Boundaries",4,3,9,16,"626.47",0.03
04/20/07,2007,"PLoS Pathogens","non RA","Synergy or Independence? Deciphering the Interaction of HLA Class I and NK Cell KIR Alleles in Early HIV-1 Disease Progression",4,3,9,16,"913.47",0.02
02/15/05,2005,"PLoS Biology","non RA","Discovery-Based Science Education: Functional Genomic Dissection in Drosophila by Undergraduate Researchers",5,5,6,16,"1707.47",0.01
01/26/07,2007,"PLoS Pathogens","RA","Inhibition of NF-ÎºB Activation In Vivo Impairs Establishment of Gammaherpesvirus Latency",4,7,5,16,"997.47",0.02
02/22/05,2005,"PLoS Biology","RA","Modeling the Mutualistic Interactions between Tubeworms and Microbial Consortia",7,1,8,16,"1700.47",0.01
05/18/07,2007,"PLoS Pathogens","RA","Crystal Structure of the P Pilus Rod Subunit PapA",5,4,7,16,"885.47",0.02
10/19/07,2007,"PLoS Genetics","RA","Meiotic Transmission of an In Vitroâ€“Assembled Autonomous Maize Minichromosome",4,4,8,16,"731.47",0.02
04/11/07,2007,"PLoS ONE","RA","Differential Cerebral Cortex Transcriptomes of Baboon Neonates Consuming Moderate and High Docosahexaenoic Acid Formulas",1,2,13,16,"922.47",0.02
05/02/06,2006,"PLoS Medicine","RA","Seasonal Childhood Anaemia in West Africa Is Associated with the Haptoglobin 2-2 Genotype",3,4,9,16,"1266.47",0.01
05/24/05,2005,"PLoS Biology","RA","A Role for Adenosine Deaminase in Drosophila Larval Development",6,2,8,16,"1609.47",0.01
01/26/07,2007,"PLoS Genetics","RA","A Role for the Adult Fat Body in Drosophila Male Courtship Behavior",3,7,6,16,"997.47",0.02
11/14/07,2007,"PLoS ONE","RA","Mining Predicted Essential Genes of Brugia malayi for Nematode Drug Targets",3,6,7,16,"705.47",0.02
04/13/07,2007,"PLoS Genetics","RA","A Tale of Two Oxidation States: Bacterial Colonization of Arsenic-Rich Environments",4,5,7,16,"920.47",0.02
12/29/06,2006,"PLoS Genetics","RA","A High-Resolution Map of Synteny Disruptions in Gibbon and Human Genomes",5,5,6,16,"1025.47",0.02
12/22/06,2006,"PLoS Genetics","RA","Secrets of Soil Survival Revealed by the Genome Sequence of Arthrobacter aurescens TC1",4,3,9,16,"1032.47",0.02
06/29/07,2007,"PLoS Genetics","RA","Phenotype Frequencies of Autosomal Minor Histocompatibility Antigens Display Significant Differences among Populations",9,1,6,16,"843.47",0.02
09/04/07,2007,"PLoS Biology","RA","Heritable Stochastic Switching Revealed by Single-Cell Genealogy",5,5,6,16,"776.47",0.02
04/28/06,2006,"PLoS Genetics","RA","Differential Use of Signal Peptides and Membrane Domains Is a Common Occurrence in the Protein Output of Transcriptional Units",4,4,8,16,"1270.47",0.01
06/25/08,2008,"PLoS ONE","RA","Heterosubtypic Protection against Pathogenic Human and Avian Influenza Viruses via In Vivo Electroporation of Synthetic Consensus DNA Antigens",6,1,9,16,"481.47",0.03
04/02/08,2008,"PLoS ONE","RA","The CD81 Partner EWI-2wint Inhibits Hepatitis C Virus Entry",5,2,9,16,"565.47",0.03
04/21/06,2006,"PLoS Computational Biology","RA","Conformational Changes in Protein Loops and Helices Induced by Post-Translational Phosphorylation",4,4,8,16,"1277.47",0.01
01/19/07,2007,"PLoS Genetics","RA","A Multi-Step Pathway for the Establishment of Sister Chromatid Cohesion",8,3,5,16,"1004.47",0.02
04/14/06,2006,"PLoS Pathogens","RA","A Novel Bacterium Associated with Lymphadenitis in a Patient with Chronic Granulomatous Disease",8,3,5,16,"1284.47",0.01
02/07/06,2006,"PLoS Biology","RA","Insect Detection of Small Targets Moving in Visual Clutter",3,0,13,16,"1350.47",0.01
05/07/08,2008,"PLoS ONE","RA","Bt Crop Effects on Functional Guilds of Non-Target Arthropods: A Meta-Analysis",8,2,6,16,"530.47",0.03
04/09/08,2008,"PLoS ONE","RA","Oral High-Dose Atorvastatin Treatment in Relapsing-Remitting Multiple Sclerosis",5,2,9,16,"558.47",0.03
02/03/06,2006,"PLoS Computational Biology","RA","Traditional Biomolecular Structure Determination by NMR Spectroscopy Allows for Major Errors",8,4,4,16,"1354.47",0.01
01/25/08,2008,"PLoS Genetics","RA","Life Span Extension by Calorie Restriction Depends on Rim15 and Transcription Factors Downstream of Ras/PKA, Tor, and Sch9",4,4,8,16,"633.47",0.03
12/19/07,2007,"PLoS ONE","RA","Expression Analysis of the Ligands for the Natural Killer Cell Receptors NKp30 and NKp44",6,3,7,16,"670.47",0.02
03/30/07,2007,"PLoS Genetics","RA","The Molecular Basis of High-Altitude Adaptation in Deer Mice",7,2,7,16,"934.47",0.02
06/20/06,2006,"PLoS Biology","RA","Excitatory and Feed-Forward Inhibitory Hippocampal Synapses Work Synergistically as an Adaptive Filter of Natural Spike Trains",3,4,9,16,"1217.47",0.01
08/15/07,2007,"PLoS ONE","RA","Loss of Receptor on Tuberculin-Reactive T-Cells Marks Active Pulmonary Tuberculosis",5,3,8,16,"796.47",0.02
08/08/07,2007,"PLoS ONE","RA","Molecular Components and Functions of the Endocannabinoid System in Mouse Prefrontal Cortex",5,1,10,16,"803.47",0.02
08/29/07,2007,"PLoS ONE","RA","GAD1 mRNA Expression and DNA Methylation in Prefrontal Cortex of Subjects with Schizophrenia",4,3,9,16,"782.47",0.02
06/26/07,2007,"PLoS Medicine","RA","Canine and Human Visual Cortex Intact and Responsive Despite Early Retinal Blindness from RPE65 Mutation",6,4,6,16,"846.47",0.02
09/12/08,2008,"PLoS ONE","RA","Contribution of Panton-Valentine Leukocidin in Community-Associated Methicillin-Resistant Staphylococcus aureus Pathogenesis",7,0,9,16,"402.47",0.04
08/06/08,2008,"PLoS ONE","RA","Effector Genomics Accelerates Discovery and Functional Profiling of Potato Disease Resistance and Phytophthora Infestans Avirulence Genes",9,3,4,16,"439.47",0.04
12/16/05,2005,"PLoS Computational Biology","RA","The Activity Reaction Core and Plasticity of Metabolic Networks",10,6,0,16,"1403.47",0.01
08/29/07,2007,"PLoS ONE","RA","Wide-Scale Analysis of Human Functional Transcription Factor Binding Reveals a Strong Bias towards the Transcription Start Site",3,7,6,16,"782.47",0.02
09/12/07,2007,"PLoS ONE","RA","A Fully Automated Robotic System for Microinjection of Zebrafish Embryos",4,1,11,16,"768.47",0.02
08/10/07,2007,"PLoS Genetics","RA","The Role of AtMUS81 in Interference-Insensitive Crossovers in A. thaliana",8,3,5,16,"801.47",0.02
04/18/06,2006,"PLoS Biology","RA","Neocortical Connectivity during Episodic Memory Formation",2,1,13,16,"1280.47",0.01
10/03/07,2007,"PLoS ONE","RA","Design and Pre-Clinical Evaluation of a Universal HIV-1 Vaccine",6,1,9,16,"747.47",0.02
03/14/06,2006,"PLoS Biology","non RA","Being Positive about Selection",3,3,10,16,"1315.47",0.01
12/26/06,2006,"PLoS Medicine","RA","Children with Severe Malnutrition: Can Those at Highest Risk of Death Be Identified with the WHO Protocol?",6,2,8,16,"1028.47",0.02
12/19/06,2006,"PLoS Medicine","RA","Selective Involvement of the Amygdala in Systemic Lupus Erythematosus",5,1,10,16,"1035.47",0.02
04/25/07,2007,"PLoS ONE","RA","Enriched Monolayer Precursor Cell Cultures from Micro-Dissected Adult Mouse Dentate Gyrus Yield Functional Granule Cell-Like Neurons",6,1,9,16,"908.47",0.02
12/26/06,2006,"PLoS Medicine","RA","A Plant-Derived Morphinan as a Novel Lead Compound Active against Malaria Liver Stages",4,1,11,16,"1028.47",0.02
09/11/07,2007,"PLoS Biology","RA","Variants in a Novel Epidermal Collagen Gene (COL29A1) Are Associated with Atopic Dermatitis",8,1,7,16,"769.47",0.02
11/10/06,2006,"PLoS Computational Biology","RA","A Curvature-Mediated Mechanism for Localization of Lipids to Bacterial Poles",8,2,6,16,"1074.47",0.01
11/07/06,2006,"PLoS Biology","RA","Detecting Non-Brownian Trait Evolution in Adaptive Radiations",7,0,9,16,"1077.47",0.01
11/17/03,2003,"PLoS Biology","non RA","Tough Mining",0,5,11,16,"2163.47",0.01
11/10/06,2006,"PLoS Genetics","RA","The Role of DNA Double-Strand Breaks in Spontaneous Homologous Recombination in S. cerevisiae",4,5,7,16,"1074.47",0.01
01/15/08,2008,"PLoS Medicine","RA","Antiretroviral Pre-exposure Prophylaxis Prevents Vaginal Transmission of HIV-1 in Humanized BLT Mice",10,4,2,16,"643.47",0.02
05/09/06,2006,"PLoS Medicine","RA","Linkage Disequilibrium Mapping of CHEK2: Common Variation and Breast Cancer Risk",2,6,8,16,"1259.47",0.01
05/02/07,2007,"PLoS ONE","RA","Polo-Like Kinase Controls Vertebrate Spindle Elongation and Cytokinesis",1,4,11,16,"901.47",0.02
03/24/06,2006,"PLoS Computational Biology","RA","The Emergence of Up and Down States in Cortical Networks",4,5,7,16,"1305.47",0.01
05/29/07,2007,"PLoS Biology","RA","PER-TIM Interactions with the Photoreceptor Cryptochrome Mediate Circadian Temperature Responses in Drosophila",6,3,7,16,"874.47",0.02
12/28/07,2007,"PLoS Genetics","RA","Deletion of the MBII-85 snoRNA Gene Cluster in Mice Results in Postnatal Growth Retardation",7,2,7,16,"661.47",0.02
12/22/03,2003,"PLoS Biology","non RA","How Are the Sizes of Cells, Organs, and Bodies Controlled?",4,2,10,16,"2128.47",0.01
08/22/06,2006,"PLoS Medicine","RA","Frequency of Adverse Events after Vaccination with Different Vaccinia Strains",5,1,10,16,"1154.47",0.01
06/20/06,2006,"PLoS Medicine","RA","Embryonic Pig Pancreatic Tissue Transplantation for the Treatment of Diabetes",6,1,9,16,"1217.47",0.01
09/30/05,2005,"PLoS Genetics","RA","Positive Selection of a Pre-Expansion CAG Repeat of the Human SCA2 Gene",10,6,0,16,"1480.47",0.01
01/20/04,2004,"PLoS Biology","non RA","The Proteasome and the Delicate Balance between Destruction and Rescue",2,1,13,16,"2099.47",0.01
10/17/06,2006,"PLoS Biology","non RA","To Lose Both Would Look Like Carelessness: Tasmanian Devil Facial Tumour Disease",6,1,9,16,"1098.47",0.01
01/16/07,2007,"PLoS Medicine","RA","A Novel Substrate-Based HIV-1 Protease Inhibitor Drug Resistance Mechanism",7,5,4,16,"1007.47",0.02
02/22/05,2005,"PLoS Medicine","non RA","Can Routine Commercial Cord Blood Banking Be Scientifically and Ethically Justified?",3,2,11,16,"1700.47",0.01
12/19/06,2006,"PLoS Biology","RA","The RNA-Binding Protein KSRP Promotes Decay of ?-Catenin mRNA and Is Inactivated by PI3K-AKT Signaling",9,5,2,16,"1035.47",0.02
07/28/06,2006,"PLoS Computational Biology","RA","Molecular Simulations of Cotranslational Protein Folding: Fragment Stabilities, Folding Cooperativity, and Trapping in the Ribosome",9,0,7,16,"1179.47",0.01
12/20/05,2005,"PLoS Medicine","RA","Analysis of Prion Strains by PrPSc Profiling in Sporadic Creutzfeldt?Jakob Disease",5,4,7,16,"1399.47",0.01
10/13/03,2003,"PLoS Biology","non RA","Microarray Analysis",3,3,10,16,"2198.47",0.01
12/27/06,2006,"PLoS ONE","RA","Analysis of In-Vivo LacR-Mediated Gene Repression Based on the Mechanics of DNA Looping",4,6,6,16,"1027.47",0.02
12/21/07,2007,"PLoS Pathogens","RA","Discordant Evolution of the Adjacent Antiretroviral Genes TRIM22 and TRIM5 in Mammals",5,5,6,16,"668.47",0.02
02/22/05,2005,"PLoS Medicine","RA","SARS Transmission Pattern in Singapore Reassessed by Viral Sequence Variation Analysis",1,5,10,16,"1700.47",0.01
10/25/05,2005,"PLoS Medicine","non RA","Use of Preclinical Models to Improve Treatment of Retinoblastoma",7,3,6,16,"1455.47",0.01
07/13/07,2007,"PLoS Genetics","RA","The Multiple Roles of Mps1 in Drosophila Female Meiosis",3,7,6,16,"829.47",0.02
07/13/07,2007,"PLoS Pathogens","RA","Integrin-Mediated Host Cell Invasion by Type 1â€“Piliated Uropathogenic Escherichia coli",3,7,6,16,"829.47",0.02
10/21/08,2008,"PLoS Medicine","RA","Inflammatory and Coagulation Biomarkers and Mortality in Patients with HIV Infection",8,1,7,16,"363.47",0.04
01/18/05,2005,"PLoS Biology","non RA","Biology by Numbers?Introducing Quantitation into Life Science Education",15,0,1,16,"1735.47",0.01
04/28/06,2006,"PLoS Genetics","RA","Multiple Mechanisms Promote the Retained Expression of Gene Duplicates in the Tetraploid Frog Xenopus laevis",5,6,5,16,"1270.47",0.01
11/25/05,2005,"PLoS Genetics","non RA","Canine Genomics and Genetics: Running with the Pack",10,6,0,16,"1424.47",0.01
06/28/05,2005,"PLoS Medicine","non RA","Weight Loss and Mortality: What Does the Evidence Show?",7,4,5,16,"1574.47",0.01
10/10/07,2007,"PLoS ONE","RA","Tumor Suppressor CYLD Acts as a Negative Regulator for Non-Typeable Haemophilus influenza-Induced Inflammation in the Middle Ear and Lung of Mice",4,3,9,16,"740.47",0.02
12/27/07,2007,"PLoS Medicine","RA","Neovascular Age-Related Macular Degeneration Risk Based on CFH, LOC387715/HTRA1, and Smoking",5,2,9,16,"662.47",0.02
01/24/06,2006,"PLoS Medicine","RA","Cost-Effectiveness of Alternative Blood-Screening Strategies for West Nile Virus in the United States",6,2,8,16,"1364.47",0.01
11/21/07,2007,"PLoS ONE","RA","Evolutionarily Conserved Protein Sequences of Influenza A Viruses, Avian and Human, as Vaccine Targets",3,4,9,16,"698.47",0.02
05/21/08,2008,"PLoS ONE","RA","Phosphatidylinositol 3-Kinase Mediates Bronchioalveolar Stem Cell Expansion in Mouse Models of Oncogenic K-ras-Induced Lung Cancer",6,0,10,16,"516.47",0.03
08/15/06,2006,"PLoS Biology","RA","The Structural Basis for Promoter ?35 Element Recognition by the Group IV ? Factors",4,6,6,16,"1161.47",0.01
07/25/06,2006,"PLoS Biology","RA","Evolution of Melanopsin Photoreceptors: Discovery and Characterization of a New Melanopsin in Nonmammalian Vertebrates",4,2,10,16,"1182.47",0.01
09/28/07,2007,"PLoS Computational Biology","RA","The Origins of Specificity in Polyketide Synthase Protein Interactions",7,1,8,16,"752.47",0.02
08/24/07,2007,"PLoS Computational Biology","RA","Design of Multi-Specificity in Protein Interfaces",10,1,4,15,"787.47",0.02
08/08/06,2006,"PLoS Medicine","non RA","How Do Intellectual Property Law and International Trade Agreements Affect Access to Antiretroviral Therapy?",2,6,7,15,"1168.47",0.01
10/17/07,2007,"PLoS ONE","RA","Small-Scale Fisheries Bycatch Jeopardizes Endangered Pacific Loggerhead Turtles",2,3,10,15,"733.47",0.02
09/04/07,2007,"PLoS Biology","RA","Cryptic Population Dynamics: Rapid Evolution Masks Trophic Interactions",7,1,7,15,"776.47",0.02
07/25/06,2006,"PLoS Medicine","non RA","Should Society Allow Research Ethics Boards to Be Run As For-Profit Enterprises?",3,4,8,15,"1182.47",0.01
07/19/05,2005,"PLoS Medicine","RA","Preclinical Assessment of HIV Vaccines and Microbicides by Repeated Low-Dose Virus Challenges",9,1,5,15,"1553.47",0.01
01/16/08,2008,"PLoS ONE","RA","Antibiotics Threaten Wildlife: Circulating Quinolone Residues and Disease in Avian Scavengers",3,2,10,15,"642.47",0.02
11/30/07,2007,"PLoS Computational Biology","RA","CATHEDRAL: A Fast and Effective Algorithm to Predict Folds and Domain Boundaries from Multidomain Protein Structures",4,5,6,15,"689.47",0.02
07/22/05,2005,"PLoS Computational Biology","RA","Inflammatory Aetiology of Human Myometrial Activation Tested Using Directed Graphs",4,2,9,15,"1550.47",0.01
02/16/07,2007,"PLoS Genetics","RA","An Unmethylated 3â€² Promoter-Proximal Region Is Required for Efficient Transcription Initiation",4,5,6,15,"976.47",0.02
11/29/05,2005,"PLoS Medicine","non RA","Mitochondrial DNA Mutations in Cancer",4,4,7,15,"1420.47",0.01
03/20/07,2007,"PLoS Biology","RA","Superfamily Assignments for the Yeast Proteome through Integration of Structure Prediction with the Gene Ontology",4,3,8,15,"944.47",0.02
04/21/06,2006,"PLoS Computational Biology","RA","Codon Usage Domains over Bacterial Chromosomes",3,7,5,15,"1277.47",0.01
04/11/06,2006,"PLoS Medicine","non RA","Medicine Goes to School: Teachers as Sickness Brokers for ADHD",4,1,10,15,"1287.47",0.01
02/28/06,2006,"PLoS Biology","RA","The Cutaneous Rabbit Illusion Affects Human Primary Sensory Cortex Somatotopically",3,2,10,15,"1329.47",0.01
06/06/06,2006,"PLoS Medicine","RA","Rational Prescribing in Primary Care (RaPP): Economic Evaluation of an Intervention to Improve Professional Practice",3,5,7,15,"1231.47",0.01
11/28/07,2007,"PLoS ONE","RA","The Effect of Predictability on Subjective Duration",3,1,11,15,"691.47",0.02
11/17/06,2006,"PLoS Genetics","RA","Genomic Variation in Rice: Genesis of Highly Polymorphic Linkage Blocks during Domestication",4,4,7,15,"1067.47",0.01
06/22/07,2007,"PLoS Genetics","RA","COUP-TFII Mediates Progesterone Regulation of Uterine Implantation by Controlling ER Activity",4,4,7,15,"850.47",0.02
10/02/07,2007,"PLoS Biology","RA","MSN2 and MSN4 Link Calorie Restriction and TOR to Sirtuin-Mediated Lifespan Extension in Saccharomyces cerevisiae",6,3,6,15,"748.47",0.02
09/12/06,2006,"PLoS Biology","RA","Threshold-Dependent BMP-Mediated Repression: A Model for a Conserved Mechanism That Patterns the Neuroectoderm",3,4,8,15,"1133.47",0.01
04/25/08,2008,"PLoS Computational Biology","non RA","Translational Systems Biology of Inflammation",5,3,7,15,"542.47",0.03
04/01/08,2008,"PLoS Medicine","RA","A Randomised, Blinded, Placebo-Controlled Trial in Dementia Patients Continuing or Stopping Neuroleptics (The DART-AD Trial)",6,2,7,15,"566.47",0.03
